id,district_name,outage_duration_minutes,date,created_at,outage_type
10759ba4-9c4d-46f2-90c0-11790b614d96,Chennai,300,2026-02-01,2026-02-01T00:00:00Z,Planned
d8c237a3-b2d5-4dfa-bc03-99661c13844a,Chennai,300,2026-02-02,2026-02-02T00:00:00Z,Planned
aaf838dd-6cb2-4db1-8591-d7b0af38664f,Coimbatore,300,2026-02-02,2026-02-02T00:00:00Z,Planned
cec18015-237c-49e2-9061-9dcd0f216955,Tiruppur,300,2026-02-02,2026-02-02T00:00:00Z,Planned
2ed67471-0f9f-403b-a8c8-c1dcbd589b40,Tirunelveli,300,2026-02-02,2026-02-02T00:00:00Z,Planned
c3a17081-d3b6-48f1-8bae-2d1c5ecefd12,Chennai,300,2026-02-03,2026-02-02T00:00:00Z,Planned
4527483b-01b6-41f9-ad06-b4816371bb9e,Tiruchirappalli,375,2026-02-05,2026-02-03T00:00:00Z,Planned
2e1aaf52-6b8f-477b-b8c0-2d03e6f882b7,Chennai,300,2026-02-09,2026-02-08T00:00:00Z,Planned
52910abd-015d-41c5-a801-051a31548e7d,Tiruchirappalli,375,2026-02-09,2026-02-09T00:00:00Z,Planned
70cca3ac-4f2b-461f-9c8c-b31f74bcd043,Chennai,300,2026-02-10,2026-02-10T00:00:00Z,Planned
44dce3d3-3799-4fed-9bbd-05a12f0e22ba,Dharmapuri,300,2026-02-12,2026-02-11T00:00:00Z,Planned
71cc4add-74a6-4128-aef5-5e0e330572d0,Krishnagiri,300,2026-02-12,2026-02-11T00:00:00Z,Planned
65dbb6a9-534a-4540-a6a9-5e6450b4f257,Chennai,300,2026-02-13,2026-02-12T00:00:00Z,Planned
8bbb9c97-8ccc-4098-a3f8-6740de3ff205,Coimbatore,300,2026-02-13,2026-02-12T00:00:00Z,Planned
16f322e1-0bf5-4fec-b923-8e16cf266d02,Chennai,300,2026-02-15,2026-02-14T00:00:00Z,Planned
03b3bfb2-1d45-439f-9323-0de6d3d5b8a1,Chennai,300,2026-02-16,2026-02-16T00:00:00Z,Planned
7a5e9a27-15e9-4d27-8604-f08ccae572e4,Namakkal,300,2026-02-18,2026-02-17T00:00:00Z,Planned
3c6d5cda-6c6a-4f10-9299-8db5daddfec6,Tiruppur,300,2026-02-19,2026-02-18T00:00:00Z,Planned
204e0e44-a50a-4a8d-be3b-2430151e93c2,Nagappattinam,300,2026-02-19,2026-02-18T00:00:00Z,Planned
0d0e1fac-ec53-49ae-9f00-ebe9767eb83d,Dindigul,300,2026-02-19,2026-02-18T00:00:00Z,Planned
ed4e8f0f-e8c6-4e90-b7ce-bc44947dda3e,Chennai,300,2026-02-22,2026-02-21T00:00:00Z,Planned
491f0ca9-78d5-4c60-b88a-2a3eebca044a,Chennai,300,2026-02-26,2026-02-24T00:00:00Z,Planned
ec6511ec-9e9f-4b6c-a6c1-d0467e3ea200,Tiruchirappalli,375,2026-03-04,2026-03-02T17:22:00Z,Planned
72c016d6-97ac-422a-baec-b7a3386db111,Chennai,300,2026-03-08,2026-03-06T00:00:00Z,Planned
879d2271-c07d-49b9-ac74-86cf1ab57bee,Chennai,420,2026-04-29,2026-04-29T00:00:00Z,Planned
95229675-b3be-4189-9596-3daaf89a02b6,Chennai,420,2026-05-14,2026-05-13T00:00:00Z,Planned
ee2870a7-3935-4229-80f2-573415da43a1,Coimbatore,420,2026-05-14,2026-05-13T00:00:00Z,Planned
19901e19-4f25-4c36-9e39-5319c33eaf2c,Tiruchirappalli,420,2026-05-14,2026-05-13T00:00:00Z,Planned
7b109e27-0b3d-4ece-a13f-2d204f45d330,Salem,420,2026-05-14,2026-05-13T00:00:00Z,Planned
8374fb29-cc06-418d-8643-0ad7ed1485c9,Coimbatore,480,2026-05-16,2026-05-15T00:00:00Z,Planned
cd2e5704-5162-4390-9f82-7617905179a3,Tiruchirappalli,480,2026-05-16,2026-05-15T00:00:00Z,Planned
9335c60b-9699-410d-a2d8-10417d6b2550,Pudukkottai,480,2026-05-16,2026-05-15T00:00:00Z,Planned
ec2ee5ae-f536-4249-aeb3-adf0ebe66388,Namakkal,480,2026-05-16,2026-05-15T00:00:00Z,Planned
ec539886-357e-404e-b0b8-402a238856ca,Salem,480,2026-05-16,2026-05-15T00:00:00Z,Planned
ab3453d1-ec41-4efb-8c96-84138fa28879,Thiruvarur,480,2026-05-16,2026-05-15T00:00:00Z,Planned
b24c63de-3203-4130-84a7-37c5be47f313,Chennai,300,2026-05-17,2026-05-17T00:00:00Z,Planned
0a8b8948-17fc-4ea4-b841-16d53e5d3e96,Coimbatore,480,2026-05-18,2026-05-17T00:00:00Z,Planned
541a2b2f-53f7-4ef9-a95b-758de3977f62,Tiruchirappalli,420,2026-05-18,2026-05-17T00:00:00Z,Planned
2caab637-80ab-47b3-818c-943e11321d20,Salem,420,2026-05-18,2026-05-17T00:00:00Z,Planned
5fd3c3d2-45b8-477f-9219-c63e9f1b7cd7,Chennai,300,2026-05-20,2026-05-20T00:00:00Z,Planned
5bd0b28d-32fe-4d7d-be27-1e9e0f13f9ce,Chennai,300,2026-05-21,2026-05-20T00:00:00Z,Planned
53723041-e543-4397-a2dd-69938a5a09e5,Chennai,300,2026-05-22,2026-05-21T00:00:00Z,Planned
0c766418-41b3-46cc-93db-e040141c4bf5,Coimbatore,480,2026-05-22,2026-05-21T00:00:00Z,Planned
6cc41a71-b4a5-4d42-b308-e25759a59492,Chennai,300,2026-05-24,2026-05-23T00:00:00Z,Planned
99de361f-3e2c-4f3c-9500-fbf5f82f5bb4,Chennai,300,2026-05-26,2026-05-22T00:00:00Z,Planned
54d92ee2-3de8-48b0-a3bc-d64e8b356d22,Tiruvallur,120,2026-05-24,2026-05-24T12:00:00Z,Fault
98ef7a1e-8e43-41bb-98f6-fb78aa13d789,Kallakurichi,120,2026-05-24,2026-05-24T12:00:00Z,Fault
f4329a1b-dce8-4845-8167-7429d2deff3b,Coimbatore,120,2026-05-24,2026-05-24T12:00:00Z,Fault
b0e0172e-d0fe-4228-98e6-1218bbcf067c,Karur,120,2026-05-24,2026-05-24T12:00:00Z,Fault
